epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.6501823663711548,,
,,,0,,,,,,0.32110148668289185
,,,1,,,,,,0.3247551918029785
,,,2,,,,,,0.33390188217163086
,,,3,,,,,,0.5420117378234863
,,,4,,,,,,0.850245475769043
,,,5,,,,,,0.8687318563461304
,,,6,,,,,,0.8876988887786865
0,0.35779815912246704,0.2785714268684387,13,,,,,0.5699166655540466,
0,,,13,,,0.5850495100021362,,,
1,,,19,,,,0.5717573761940002,,
,,,7,,,,,,0.3337928354740143
,,,8,,,,,,0.3409222662448883
,,,9,,,,,,0.3459954261779785
,,,10,,,,,,0.5268236398696899
,,,11,,,,,,0.7833793759346008
,,,12,,,,,,0.7962216138839722
,,,13,,,,,,0.807905912399292
1,0.35779815912246704,0.2785714268684387,27,,,,,0.5457649230957031,
1,,,27,,,0.5519028902053833,,,
2,,,29,,,,0.5379850268363953,,
2,,,39,,,,0.5105961561203003,,
,,,14,,,,,,0.3474878668785095
,,,15,,,,,,0.3699377179145813
,,,16,,,,,,0.37103453278541565
,,,17,,,,,,0.512660026550293
,,,18,,,,,,0.7245414853096008
,,,19,,,,,,0.7383747100830078
,,,20,,,,,,0.7399232983589172
2,0.6906565427780151,0.8263607621192932,41,,,,,0.530322790145874,
2,,,41,,,0.526015043258667,,,
3,,,49,,,,0.524834156036377,,
,,,21,,,,,,0.3508489429950714
,,,22,,,,,,0.37695834040641785
,,,23,,,,,,0.3730594515800476
,,,24,,,,,,0.49635258316993713
,,,25,,,,,,0.6714006662368774
,,,26,,,,,,0.6881622076034546
,,,27,,,,,,0.6838246583938599
3,0.8693655133247375,0.9041011333465576,55,,,,,0.5091708302497864,
3,,,55,,,0.5100184679031372,,,
4,,,59,,,,0.4954003691673279,,
4,,,69,,,,0.33723700046539307,,
,,,28,,,,,,0.36501264572143555
,,,29,,,,,,0.4120275378227234
,,,30,,,,,,0.37861576676368713
,,,31,,,,,,0.49227917194366455
,,,32,,,,,,0.6050624847412109
,,,33,,,,,,0.6187885999679565
,,,34,,,,,,0.6032298803329468
4,0.9077648520469666,0.9110469222068787,69,,,,,0.4893109202384949,
4,,,69,,,0.4806884527206421,,,
5,,,79,,,,0.3933488428592682,,
,,,35,,,,,,0.35822001099586487
,,,36,,,,,,0.41274482011795044
,,,37,,,,,,0.3725879192352295
,,,38,,,,,,0.4816386103630066
,,,39,,,,,,0.535247266292572
,,,40,,,,,,0.5505167245864868
,,,41,,,,,,0.5362718105316162
5,0.9182299375534058,0.9172149300575256,83,,,,,0.45906415581703186,
5,,,83,,,0.43993330001831055,,,
6,,,89,,,,0.4462594985961914,,
,,,42,,,,,,0.38044989109039307
,,,43,,,,,,0.44254642724990845
,,,44,,,,,,0.39957863092422485
,,,45,,,,,,0.4742603898048401
,,,46,,,,,,0.4370398223400116
,,,47,,,,,,0.4664681553840637
,,,48,,,,,,0.4526519775390625
6,0.9092748761177063,0.9101052284240723,97,,,,,0.43504151701927185,
6,,,97,,,0.4078963100910187,,,
7,,,99,,,,0.40306660532951355,,
7,,,109,,,,0.3439963757991791,,
,,,49,,,,,,0.3494951128959656
,,,50,,,,,,0.4260098338127136
,,,51,,,,,,0.3858990967273712
,,,52,,,,,,0.4325762689113617
,,,53,,,,,,0.3974529206752777
,,,54,,,,,,0.4302574396133423
,,,55,,,,,,0.4177846610546112
7,0.9377777576446533,0.9368191957473755,111,,,,,0.40482965111732483,
7,,,111,,,0.3829953372478485,,,
8,,,119,,,,0.3540334403514862,,
,,,56,,,,,,0.3984413146972656
,,,57,,,,,,0.4883187413215637
