epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,,,9,,,,0.6067755818367004,,
,,,0,,,,,,0.3236198425292969
,,,1,,,,,,0.32083824276924133
,,,2,,,,,,0.3370167016983032
,,,3,,,,,,0.34286612272262573
,,,4,,,,,,0.7270653247833252
,,,5,,,,,,0.885582685470581
,,,6,,,,,,0.8778846859931946
0,0.3895348906517029,0.31904762983322144,13,,,,,0.522788405418396,
0,,,13,,,0.6005225777626038,,,
1,,,19,,,,0.4915792644023895,,
,,,7,,,,,,0.3359549939632416
,,,8,,,,,,0.33276015520095825
,,,9,,,,,,0.35781437158584595
,,,10,,,,,,0.3644314706325531
,,,11,,,,,,0.6837897300720215
,,,12,,,,,,0.8013997673988342
,,,13,,,,,,0.7989957332611084
1,0.5581014752388,0.807692289352417,27,,,,,0.5067559480667114,
1,,,27,,,0.5581924915313721,,,
2,,,29,,,,0.5580213665962219,,
2,,,39,,,,0.4972260594367981,,
,,,14,,,,,,0.35545632243156433
,,,15,,,,,,0.34940600395202637
,,,16,,,,,,0.37897786498069763
,,,17,,,,,,0.3968610465526581
,,,18,,,,,,0.6375973224639893
,,,19,,,,,,0.7291615009307861
,,,20,,,,,,0.7325200438499451
2,0.8539169430732727,0.9112706780433655,41,,,,,0.4966861307621002,
2,,,41,,,0.5344067811965942,,,
3,,,49,,,,0.4947810769081116,,
,,,21,,,,,,0.3407995402812958
,,,22,,,,,,0.33816689252853394
,,,23,,,,,,0.36736470460891724
,,,24,,,,,,0.38167548179626465
,,,25,,,,,,0.6063066124916077
,,,26,,,,,,0.6974756121635437
,,,27,,,,,,0.6988245248794556
3,0.8862552046775818,0.9150071740150452,55,,,,,0.4761718511581421,
3,,,55,,,0.509361743927002,,,
4,,,59,,,,0.49240660667419434,,
4,,,69,,,,0.5582305788993835,,
,,,28,,,,,,0.34926289319992065
,,,29,,,,,,0.3341444730758667
,,,30,,,,,,0.37119078636169434
,,,31,,,,,,0.39558982849121094
,,,32,,,,,,0.552317202091217
,,,33,,,,,,0.633630096912384
,,,34,,,,,,0.6316445469856262
4,0.8999373316764832,0.9104224443435669,69,,,,,0.4558377265930176,
4,,,69,,,0.4813626706600189,,,
5,,,79,,,,0.46798866987228394,,
,,,35,,,,,,0.3595442771911621
,,,36,,,,,,0.3359913229942322
,,,37,,,,,,0.3732314109802246
,,,38,,,,,,0.43057703971862793
,,,39,,,,,,0.487627238035202
,,,40,,,,,,0.5670701265335083
,,,41,,,,,,0.5489933490753174
5,0.9175176620483398,0.9175176620483398,83,,,,,0.43624383211135864,
5,,,83,,,0.4509980380535126,,,
6,,,89,,,,0.3991308808326721,,
,,,42,,,,,,0.3497351109981537
,,,43,,,,,,0.33954760432243347
,,,44,,,,,,0.3755980134010315
,,,45,,,,,,0.4478175640106201
,,,46,,,,,,0.45016875863075256
,,,47,,,,,,0.4926737844944
,,,48,,,,,,0.48170173168182373
6,0.9233109951019287,0.9201372265815735,97,,,,,0.4154663681983948,
6,,,97,,,0.4046429693698883,,,
7,,,99,,,,0.379101037979126,,
7,,,109,,,,0.39095404744148254,,
,,,49,,,,,,0.35005754232406616
,,,50,,,,,,0.3375955820083618
,,,51,,,,,,0.3802935481071472
,,,52,,,,,,0.4464847445487976
,,,53,,,,,,0.40709391236305237
,,,54,,,,,,0.4367821514606476
,,,55,,,,,,0.4375644028186798
7,0.9335362315177917,0.9302831292152405,111,,,,,0.39686667919158936,
7,,,111,,,0.3797420561313629,,,
8,,,119,,,,0.33375757932662964,,
,,,56,,,,,,0.34218329191207886
,,,57,,,,,,0.34255874156951904
,,,58,,,,,,0.3757008910179138
,,,59,,,,,,0.45342642068862915
,,,60,,,,,,0.40639108419418335
,,,61,,,,,,0.4366442859172821
,,,62,,,,,,0.46359437704086304
8,0.9130858182907104,0.9099913239479065,125,,,,,0.39888402819633484,
8,,,125,,,0.3566887378692627,,,
9,,,129,,,,0.3288683593273163,,
9,,,139,,,,0.6070420145988464,,
,,,63,,,,,,0.316620409488678
,,,64,,,,,,0.339272141456604
,,,65,,,,,,0.3658907413482666
,,,66,,,,,,0.4042417109012604
,,,67,,,,,,0.42224353551864624
,,,68,,,,,,0.4536365568637848
,,,69,,,,,,0.49914371967315674
9,0.9121100902557373,0.9133333563804626,139,,,,,0.39355024695396423,
9,,,139,,,0.3662991523742676,,,
10,,,149,,,,0.37214183807373047,,
,,,70,,,,,,0.339455246925354
,,,71,,,,,,0.34429723024368286
,,,72,,,,,,0.363476425409317
,,,73,,,,,,0.42832571268081665
,,,74,,,,,,0.4038817286491394
,,,75,,,,,,0.43078774213790894
,,,76,,,,,,0.4773469567298889
10,0.9233109951019287,0.9201372265815735,153,,,,,0.392949640750885,
10,,,153,,,0.34584686160087585,,,
11,,,159,,,,0.3188389837741852,,
,,,77,,,,,,0.3390690088272095
,,,78,,,,,,0.3295864462852478
,,,79,,,,,,0.3793894350528717
,,,80,,,,,,0.41744449734687805
,,,81,,,,,,0.37964963912963867
,,,82,,,,,,0.40844714641571045
,,,83,,,,,,0.45492860674858093
11,0.9228904843330383,0.9217361807823181,167,,,,,0.38239750266075134,
11,,,167,,,0.3517606556415558,,,
12,,,169,,,,0.3191065490245819,,
12,,,179,,,,0.3220304846763611,,
,,,84,,,,,,0.3179651200771332
,,,85,,,,,,0.33258476853370667
,,,86,,,,,,0.3697085380554199
,,,87,,,,,,0.4130095839500427
,,,88,,,,,,0.39498329162597656
,,,89,,,,,,0.3973732590675354
,,,90,,,,,,0.465302050113678
12,0.9228904843330383,0.9217361807823181,181,,,,,0.37902581691741943,
12,,,181,,,0.33696648478507996,,,
