epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,36,,,,,,0.33939772844314575
,,,37,,,,,,0.3792743980884552
,,,38,,,,,,0.4337511956691742
,,,39,,,,,,0.5495681166648865
,,,40,,,,,,0.5548295974731445
,,,41,,,,,,0.5509641170501709
5,0.8964278101921082,0.9187942147254944,83,,,,,0.4429425299167633,
5,,,83,,,0.41902539134025574,,,
6,,,89,,,,0.43383345007896423,,
,,,42,,,,,,0.3382951617240906
,,,43,,,,,,0.3402676284313202
,,,44,,,,,,0.3941308856010437
,,,45,,,,,,0.4091655910015106
,,,46,,,,,,0.4896406829357147
,,,47,,,,,,0.47367382049560547
,,,48,,,,,,0.48519018292427063
6,0.9224305152893066,0.9282310009002686,97,,,,,0.41418561339378357,
6,,,97,,,0.39195963740348816,,,
7,,,99,,,,0.3952215909957886,,
7,,,109,,,,0.3401922583580017,,
,,,49,,,,,,0.3275340795516968
,,,50,,,,,,0.32369744777679443
,,,51,,,,,,0.3666112422943115
,,,52,,,,,,0.41002538800239563
,,,53,,,,,,0.48761603236198425
,,,54,,,,,,0.4611518085002899
,,,55,,,,,,0.4988929033279419
7,0.9271827936172485,0.9341710209846497,111,,,,,0.40491631627082825,
7,,,111,,,0.3676007091999054,,,
8,,,119,,,,0.3424810767173767,,
,,,56,,,,,,0.33257031440734863
,,,57,,,,,,0.35369688272476196
,,,58,,,,,,0.3780227601528168
,,,59,,,,,,0.42477357387542725
,,,60,,,,,,0.46871671080589294
,,,61,,,,,,0.4393293857574463
,,,62,,,,,,0.45515865087509155
8,0.9224305152893066,0.9282310009002686,125,,,,,0.4042874276638031,
8,,,125,,,0.35602739453315735,,,
9,,,129,,,,0.3355973958969116,,
9,,,139,,,,0.3355507254600525,,
,,,63,,,,,,0.32806795835494995
,,,64,,,,,,0.3298802673816681
,,,65,,,,,,0.36534595489501953
,,,66,,,,,,0.41285353899002075
,,,67,,,,,,0.4677813649177551
,,,68,,,,,,0.41802823543548584
,,,69,,,,,,0.46546778082847595
9,0.9271827936172485,0.9341710209846497,139,,,,,0.39371925592422485,
9,,,139,,,0.34382951259613037,,,
10,,,149,,,,0.380705863237381,,
,,,70,,,,,,0.31980353593826294
,,,71,,,,,,0.32517921924591064
,,,72,,,,,,0.360780268907547
,,,73,,,,,,0.4111579954624176
,,,74,,,,,,0.47197800874710083
,,,75,,,,,,0.40848448872566223
,,,76,,,,,,0.4466429352760315
10,0.9273708462715149,0.9321907758712769,153,,,,,0.3883611857891083,
10,,,153,,,0.34439265727996826,,,
11,,,159,,,,0.32753869891166687,,
,,,77,,,,,,0.32325130701065063
,,,78,,,,,,0.3363746404647827
,,,79,,,,,,0.36946332454681396
,,,80,,,,,,0.4116612672805786
,,,81,,,,,,0.4665362536907196
,,,82,,,,,,0.4063701629638672
,,,83,,,,,,0.4269545078277588
11,0.9273708462715149,0.9321907758712769,167,,,,,0.3891533315181732,
11,,,167,,,0.33633798360824585,,,
12,,,169,,,,0.3212747573852539,,
12,,,179,,,,0.34864541888237,,
,,,84,,,,,,0.3214230537414551
,,,85,,,,,,0.3330860435962677
,,,86,,,,,,0.3502720594406128
,,,87,,,,,,0.40000349283218384
,,,88,,,,,,0.48308202624320984
,,,89,,,,,,0.40398359298706055
,,,90,,,,,,0.4452344477176666
12,0.9321267008781433,0.9380431771278381,181,,,,,0.38739728927612305,
12,,,181,,,0.3302727937698364,,,
13,,,189,,,,0.3518372178077698,,
,,,91,,,,,,0.3194483518600464
,,,92,,,,,,0.33720123767852783
,,,93,,,,,,0.34647947549819946
,,,94,,,,,,0.403704971075058
,,,95,,,,,,0.488577276468277
,,,96,,,,,,0.4086880087852478
,,,97,,,,,,0.45005401968955994
13,0.9125000238418579,0.9204705953598022,195,,,,,0.38967692852020264,
13,,,195,,,0.3306187689304352,,,
14,,,199,,,,0.31743982434272766,,
14,,,209,,,,0.3138532042503357,,
,,,98,,,,,,0.35426175594329834
,,,99,,,,,,0.3495779037475586
,,,100,,,,,,0.381719708442688
,,,101,,,,,,0.41576260328292847
,,,102,,,,,,0.4633293151855469
,,,103,,,,,,0.3862442970275879
,,,104,,,,,,0.4064735770225525
14,0.9131513833999634,0.9153199791908264,209,,,,,0.3930722773075104,
14,,,209,,,0.32737085223197937,,,
15,,,219,,,,0.3674366772174835,,
,,,105,,,,,,0.33865681290626526
,,,106,,,,,,0.32203757762908936
,,,107,,,,,,0.35677194595336914
,,,108,,,,,,0.404900461435318
,,,109,,,,,,0.4774690270423889
,,,110,,,,,,0.3901425004005432
,,,111,,,,,,0.43137943744659424
15,0.9222221970558167,0.9303529262542725,223,,,,,0.38592445850372314,
15,,,223,,,0.33314383029937744,,,
16,,,229,,,,0.3419310748577118,,
,,,112,,,,,,0.31753870844841003
,,,113,,,,,,0.32445964217185974
,,,114,,,,,,0.34598174691200256
,,,115,,,,,,0.39682990312576294
,,,116,,,,,,0.4930271506309509
,,,117,,,,,,0.40519291162490845
,,,118,,,,,,0.4555771052837372
16,0.9222221970558167,0.9303529262542725,237,,,,,0.38693973422050476,
16,,,237,,,0.3321997821331024,,,
17,,,239,,,,0.31573668122291565,,
17,,,249,,,,0.3485431671142578,,
,,,119,,,,,,0.3433176279067993
,,,120,,,,,,0.3380277454853058
,,,121,,,,,,0.34189850091934204
,,,122,,,,,,0.3877791166305542
,,,123,,,,,,0.46892815828323364
,,,124,,,,,,0.40047869086265564
,,,125,,,,,,0.38372504711151123
17,0.9322955012321472,0.9362058043479919,251,,,,,0.38038480281829834,
17,,,251,,,0.3393159508705139,,,
18,,,259,,,,0.3237529993057251,,
,,,126,,,,,,0.31986427307128906
,,,127,,,,,,0.31678181886672974
,,,128,,,,,,0.3339235186576843
,,,129,,,,,,0.38639798760414124
,,,130,,,,,,0.4794749617576599
,,,131,,,,,,0.42049336433410645
,,,132,,,,,,0.3923618793487549
18,0.9319444298744202,0.9402353167533875,265,,,,,0.3775450587272644,
18,,,265,,,0.33350619673728943,,,
19,,,269,,,,0.3160064220428467,,
19,,,279,,,,0.3141111433506012,,
,,,133,,,,,,0.344771146774292
,,,134,,,,,,0.33601564168930054
,,,135,,,,,,0.3347696363925934
,,,136,,,,,,0.38646426796913147
,,,137,,,,,,0.46588972210884094
,,,138,,,,,,0.41795283555984497
,,,139,,,,,,0.3899761140346527
19,0.9372053146362305,0.9402777552604675,279,,,,,0.3817485272884369,
19,,,279,,,0.33047306537628174,,,
,,,0,,0.344771146774292,,,,
,,,1,,0.33601564168930054,,,,
,,,2,,0.3347696363925934,,,,
,,,3,,0.38646426796913147,,,,
,,,4,,0.46588972210884094,,,,
,,,5,,0.41795283555984497,,,,
,,,6,,0.3899761140346527,,,,
20,,,280,0.3817485272884369,,,,,
